CMDLINE /usr/bin/python3 detect_video.py
MEM 3.203125 1628090704.3158
MEM 9.566406 1628090704.4168
MEM 14.683594 1628090704.5177
MEM 17.828125 1628090704.6184
MEM 20.054688 1628090704.7193
MEM 31.339844 1628090704.8201
MEM 34.253906 1628090704.9211
MEM 40.226562 1628090705.0219
MEM 56.585938 1628090705.1233
MEM 65.671875 1628090705.2242
MEM 68.250000 1628090705.3252
MEM 87.726562 1628090705.4261
MEM 122.527344 1628090705.5270
MEM 127.968750 1628090705.6279
MEM 157.609375 1628090705.7292
MEM 191.210938 1628090705.8302
MEM 196.203125 1628090705.9311
MEM 200.832031 1628090706.0319
MEM 203.464844 1628090706.1327
MEM 206.226562 1628090706.2336
MEM 208.539062 1628090706.3346
MEM 211.894531 1628090706.4354
MEM 214.242188 1628090706.5363
MEM 217.125000 1628090706.6373
MEM 218.589844 1628090706.7381
MEM 221.042969 1628090706.8389
MEM 224.308594 1628090706.9397
MEM 226.628906 1628090707.0406
MEM 229.843750 1628090707.1414
MEM 231.839844 1628090707.2423
MEM 233.476562 1628090707.3431
MEM 236.582031 1628090707.4439
MEM 240.105469 1628090707.5447
MEM 243.320312 1628090707.6455
MEM 244.421875 1628090707.7464
MEM 246.738281 1628090707.8473
MEM 249.269531 1628090707.9483
MEM 251.910156 1628090708.0493
MEM 254.148438 1628090708.1502
MEM 256.054688 1628090708.2511
MEM 258.476562 1628090708.3520
MEM 260.992188 1628090708.4530
MEM 262.496094 1628090708.5538
MEM 268.203125 1628090708.6548
MEM 270.855469 1628090708.7557
MEM 274.796875 1628090708.8565
MEM 277.671875 1628090708.9574
MEM 277.980469 1628090709.0584
MEM 278.835938 1628090709.1593
MEM 280.585938 1628090709.2602
MEM 283.570312 1628090709.3610
MEM 286.664062 1628090709.4621
MEM 290.781250 1628090709.5630
MEM 294.164062 1628090709.6639
MEM 294.609375 1628090709.7648
MEM 296.015625 1628090709.8655
MEM 305.410156 1628090709.9663
MEM 306.800781 1628090710.0671
MEM 308.070312 1628090710.1678
MEM 310.628906 1628090710.2689
MEM 310.628906 1628090710.3700
MEM 311.980469 1628090710.4707
MEM 312.472656 1628090710.5716
MEM 313.628906 1628090710.6725
MEM 313.707031 1628090710.7734
MEM 313.828125 1628090710.8743
MEM 313.976562 1628090710.9752
MEM 313.976562 1628090711.0761
MEM 313.976562 1628090711.1771
MEM 328.226562 1628090711.2781
MEM 328.542969 1628090711.3790
MEM 329.027344 1628090711.4798
MEM 329.027344 1628090711.5807
MEM 329.164062 1628090711.6816
MEM 329.164062 1628090711.7824
MEM 333.187500 1628090711.8839
MEM 334.492188 1628090711.9849
MEM 334.605469 1628090712.0858
MEM 335.234375 1628090712.1867
MEM 335.281250 1628090712.2876
MEM 335.457031 1628090712.3885
MEM 335.656250 1628090712.4895
MEM 335.656250 1628090712.5904
MEM 335.960938 1628090712.6913
MEM 335.960938 1628090712.7920
MEM 335.960938 1628090712.8928
MEM 335.960938 1628090712.9938
MEM 335.960938 1628090713.0947
MEM 335.960938 1628090713.1956
MEM 336.207031 1628090713.2965
MEM 336.207031 1628090713.3973
MEM 336.207031 1628090713.4981
MEM 336.207031 1628090713.5989
MEM 336.207031 1628090713.6998
MEM 336.707031 1628090713.8005
MEM 336.707031 1628090713.9015
MEM 336.957031 1628090714.0024
MEM 336.957031 1628090714.1033
MEM 336.957031 1628090714.2042
MEM 336.957031 1628090714.3052
MEM 336.957031 1628090714.4060
MEM 337.464844 1628090714.5068
MEM 337.464844 1628090714.6079
MEM 337.714844 1628090714.7088
MEM 337.714844 1628090714.8096
MEM 337.714844 1628090714.9104
MEM 337.714844 1628090715.0112
MEM 337.714844 1628090715.1120
MEM 337.714844 1628090715.2128
MEM 337.964844 1628090715.3136
MEM 337.964844 1628090715.4144
MEM 338.214844 1628090715.5151
MEM 338.214844 1628090715.6159
MEM 338.214844 1628090715.7168
MEM 341.539062 1628090715.8178
MEM 341.539062 1628090715.9187
MEM 341.539062 1628090716.0195
MEM 341.539062 1628090716.1203
MEM 341.539062 1628090716.2213
MEM 341.539062 1628090716.3221
MEM 341.539062 1628090716.4229
MEM 342.820312 1628090716.5240
MEM 345.140625 1628090716.6248
MEM 345.140625 1628090716.7257
MEM 345.140625 1628090716.8266
MEM 345.140625 1628090716.9275
MEM 345.140625 1628090717.0284
